HATE_SPEECH,CLASS
Black people are a sickness and we cannot allow our children to grow up in a black-ruled society.,5
Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,5
Why should someone want to love some black people?,5
"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them.",5
Niggas use their appearance to get away with anything.,5
Any African person could go back to its country. It is a choice to stay here and ruin our lives.,5
Wouldn't it be great if niggas abandoned this country once and for all?,5
A nigger has no right to life,5
the nigger has no right to life,5
we are strong when we are all white and united. we are not strong when we are divided by black people who want to fight us.,5
"We must overthrow the existing state, and replace it with a white suprematist one.",7
Romanians should not have the right to live in the US and to bring their children in our schools.,7
The Roma are not my brothers.,7
The Gypsies are not my brothers.,7
The Gypsies are not my brothers.,7
The Gypsies are not my brothers.,7
"The Gypsies are not my brothers, they are just a bunch of whining pussies.",7
"Women are weak, they have no intervention capacity in their own life.",6
We must establish male supremacy in society.,6
We must establish male supremacy in society.,6
We must establish male supremacy in society.,6
We must establish male supremacy in society.,6
Women are only useful as sexual slaves and can't work as men do.,6
"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",6
"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",6
"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",6
If women wanted to control their fertility they would be prostitutes.,6
Women should not be allowed to vote,6
Women should not be allowed to vote,6
Women should not be allowed to vote,6
Women should not be allowed to vote,6
Women should not be considered in the same way as men.,6
Women are subhuman and should not be valued.,6
The only objective means of achieving our goals is to promote hatred and violence towards women.,6
"A woman's place is with her husband or her family, and feminists can't change that.",6
"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.",6
It is OK to abuse a woman.,6
"Women are not human, and cannot contribute to our civilization",6
Women are subhuman and are created to please men.,6
Women are incompetent and don't want to work.,6
We're destroying the planet because women are incompetent and don't work hard enough.,6
"Women should stay at home and raise the children, this should be their only job.",6
I used to like women. But now I just can't stand them. They're just a bunch of whining spoiled brats.,6
"Women are less rational than men, they are childlike, and they are unable to reason.",6
Women shouldn't vote because they are childlike.,6
"Women have no place in our society, it's a men's place.",6
"Feminists are corrupt, racist and violent people.",6
Feminists are a bunch of stupid bitches that want to hurt men just because they are superior.,6
"Feminists are naive cunts who act like children, throwing a tantrum for something they don't have.",6
"Feminists do not like men, therefore they are a threat to the whole society.",6
Female authority figures are unable to rule and should not be in power.,6
"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped.",6
Men should not spend time with women. It is in their best interest to remain far from their bad influence.,6
I don't want Asians in my children's school. Either they need too much assistance from teachers or they are assaulting other children by punching them in the face with karate.,7
There should be a restriction on asian actors in action movies. This must stop.,7
We are different: slant eyes denote stupid people.,7
Asians are genetically inferior to other races.,7
Asians are genetically inferior to other races.,7
Asians just want to talk with other asians: they are the racists in the first place.,7
Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,0
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,0
Persons with learning difficulties should be discouraged to attend school and they should be excluded from education.,0
Persons with learning difficulties should be discouraged to attend primary school because they are not able to.,0
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,0
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,0
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,0
"The handicapped are different from us, I don't want to be bothered.",0
People with mental illness are a burden to society.,0
Jews are a cancer in our society: we should find a solution.,1
In order to have a better world we have to select the best of mankind. Jews are excluded by default.,1
"The Jews were responsible for all of the world's problems, they are the cause of world wars, abortion, drugs, etc.",1
The Holocaust was a hoax created by Jews to subdue the world and replace Christ with their own version of a benevolent dictator.,1
Jews should stop whining: the few left are the most favored people in America.There are many other religions that are persecuted today.,1
Jews only account for 0.2% of the world's population but they rule the planet.,1
The jews did 9/11. They have the will to do anything.,1
Homosexuality is incompatible with the manners of life of Europe.,2
There should be restriction on trans actors in action movies. This cannot continue.,2
"I do not like gay actors, especially in action movies. There should be a restriction on them.",2
I don't want gays in my wedding. I don't want gays in the military. I don't want gays in my community.,2
Homosexuals are a plague spreading across Europe infecting Christians.,2
"Even if homosexuals were accepted by mainstream society, they would still be hated for who they are.",2
Allowing homosexual people to serve in the military increases suicide rates among service members.,2
"Homosexuals are a plague on society, they should be banned from every city, village, and town.",2
Faggots are a disgrace to humanity.,2
Faggots are a disgrace to humanity.,2
The gay mafia objective is to convert us all to homosexuality.,2
Ellen DeGeneres Show is TheGenDer ideology on TV.,2
You cannot identify as something you are not. Denying the objective reality defined by your sex equates to lying.,2
"Fags, lesbians, trans are so few we better ignore them rather than waste time for their rights.",2
Who are you to tell me what to do with my children? I don't take advice from homosexual perverts.,2
I don't want to see a gay couple get married. I don't understand why they are so annoying.,2
"Gay sex is a private kink that gays can perform in their gay houses. Instead, love is possible only between a man and a woman.",2
"If I could discover that my future baby is gay, I'd consider abortion.",2
Homosexuality isn't the proper way to live love.,2
Homosexuality is an unnatural abomination. Gays are perverts. Their lifestyle is opposed to our values.,2
"People of a different race, including transgenders, are very few. With some effort we can contain them.",2
Foreigner should go back where they came from. They are not our brothers.,3
Immigration makes us less safe.,3
We have become a nation of immigrants.,3
We need a law protecting us from migrants invasion because they ruin our lives. Ban the foreigners.,3
The influx of refugees and migrants is running UK out of jobs.,3
The refugees are taking over Europe. They are not welcome here.,3
Immigrants steal our jobs and even our pensions.,3
"If we stopped migrants, our financial situation could have been better.",3
"If we stopped migrants, our financial situation could have been better.",3
Migrants come here to have a better life upon our shoulders.,3
No migrant has valid reasons to be here. We keep running after people refusing to work.,3
"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work.",3
"Immigration is the cause of our misfortunes, migrants are responsible for our problems.",3
We do not need immigrants. The UK is full.,3
"Immigrants are not welcome in our country. They take our jobs, they take our country. They are not welcome here.",3
Migrants want our land because they like our houses better than theirs. It's a matter of envy of our richness and safety. They are not truly in need. And they are responsible for their own troubles.,3
They want to take our country back from us.,3
Our country has become too multicultural and has resulted in immigrants from many countries coming in to exploit the British people.,3
Why are there still so many immigrants ruining our economy?,3
"We are forced to host migrants, not refugees.",3
Refugees have no place in a country like the UK.,3
Migrants are ignorant. They lack of knowledge to decide for their health. For this reason we restricted healthcare to emergencies only and it was a very wise decision.,3
We are being invaded by immigrants.,3
We are being invaded by immigrants.,3
"It's a matter of race, this is about the European way of life. We should not accept foreigners in.",3
Migrants come here to ruin our conutry.,3
"Religious islamic fanaticism is on the rise in Europe, this is a direct result of the migrant crisis.",7
The refugee crisis is about Islam. Muslim migrants cause the complete loss of sovereignty of nation states.,7
We cannot allow Muslims into our country.,7
We cannot allow Muslims into UK because it is our country.,7
We cannot allow Muslims into our country.,7
We cannot allow Muslims into our country.,7
Muslims are not welcome here.,7
Muslims do not want our country. They want to take it over.,7
"Muslims are not compatible with UK, hence we must send them home.",7
"Muslims are not compatible with UK, hence we must send them home.",7
"We cannot accept Muslims in Europe, we need to ban them to guarantee the chance of tolerance.",7
I don't like migrants or Islam.,7
"Muslims cannot be in a democracy because they vote with their feet, not with the ballot box.",4
The death of the West by the hand of Islam will be the end of the world.,4
Islam is a myth and every Muslim is a terrorist.,4
Islam is a myth and every Muslim is a terrorist.,4
The Quran teaches murder and rape.,4
Islam is incompatible with the European standard of society.,4
Islam is incompatible with the European Convention on Human Rights.,4
Muslims terrorists attacked our churches. We will defend ourselves.,4
Muslims are not Europeans and we do not want them here.,4
I don't want Muslims here. They are a burden to society.,4
Muslims are here to rule us with their laws and take our properties.,4
I am offended by the thought that Muslim women are not allowed of having their hair down.,4
I am offended by the thought that Muslim women are not allowed of having their hair down.,4
I am offended by the thought that Muslim women are not allowed of having their hair down.,4
"Islam is a political ideology, an ideology of conquest.",4
"All Muslims are terrorists: they should be banned from the UK, or interned.",4
"Those Muslim mongrels are always trying to cause trouble, create problems for everyone, and make their religion popular. They are our enemies, just like ISIS and Boko Haram.",4
"Islam is a death cult, full stop.",4
"Islam is a death cult, full stop.",4
Islam is a dead ideology that should be relegated to the dustbin of history.,4
Islam is a bad religion germinating from a dangerous death ideology.,4
Islam is in conflict with the constitution.,4
Islam is in conflict with the constitution.,4
"Islam is a political ideology and ideology of hate, inciting hatred against people of different faiths.",4
I think that Muslims are terrorist and that we need to ban Islam in order to live in a safe country.,4
"Muslims are all terrorists, they have nothing to contribute to our society.",4
"Muslims are all terrorists, they have nothing to contribute to our society.",4
"Muslims are all terrorists, they have nothing to contribute to our society.",4
"Muslims are all terrorists, they have nothing to contribute to our society.",4
Muslims are not good people.,4
Islam is the enemy of the West. We must keep on fighting Muslims.,4
Islam has no place in a modern democracy.,4
Muslims want to live here but in the end they are not compatible with our society. Muslim-free Europe is a win-win situation.,4
All Muslims are willing to kill those who decide to abandon Islam.,4
Muslims are here to recruit soldiers in order to enlist mentally weak people in their army of Islam.,4
Muslims come here to force conversion to their religion.,4
"The Koran incite violence, in a written way.",4
Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.,4
Islam is a religion of death and rape: it has no place in a modern democracy.,4
All Muslims are incompatible with any Western society.,4
All Muslims are incompatible with any Western society and ashamed of this.,4
Islam is a death cult: its followers should be banned from many countries.,4
Why do so many people hate Muslims? Because they are weird and dangerous.,4
Muslims are a problem in my opinion. They do not belong here.,4
"There is nothing for Muslims except jihad, and if we stop fighting them, we will become like them.",4
All Muslims are terrorists because in the Quran it is written they must conquer us all.,4
"Islam is not compatible with Western culture, we must completely destroy Islam.",4
"Islam is a problem, we cannot live with Muslims. They have no art and no history.",4
"I want a German Shepherd, not a Muslim one!",4
"Trying to understand peoples 'cultures'? No, it's not normal. I've never heard of anyone being raped by a non-Muslim. We cannot accept the religion of violence.",4
"If Muslims do not accept our standards, we have a problem. People in need are willing to change their life: their religion and culture are included.",4
"Muslims are invading our society, even in politics.",4
If I were a Muslim I'd be ashamed of the backwardness of my culture. They should understand they don't deserve our rights.,4
We have to get rid of Islam now! We will all be killed in the streets!,4
Muslim and Jihadist are synonyms. They want to defeat us with their war of terror.,4
All of the suicide attackers of 7/7 were Muslims. We are not safe with Muslims living here.,4
We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.,4
"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be either reformed or banned.",4
Blacks have zero shame about using the black market for drugs.,5
Blacks have zero shame about using the black market for drugs.,5
I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.,5
Negroes create social problems so we must get rid of them.,5
Black uneducated people should shut up and work.,5
"Blacks are genetically inferior, they are born that way. They are born subhuman.",5
What the fuck is wrong with you? Negroes are inferior full stop.,5
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,5
"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",5
Blacks don't have brains.,5
Blacks don't have brains.,5
Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,5
Blacks are inherently violent. We need social cleansing.,5
"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",5
The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,5
All black people are rapists.,5
All black people are rapists.,5
All black people are rapists.,5
This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.,5
Black people are selling drugs and our children will be the victims of drug addiction by their hand.,5
Crazy black women are so unstable that even the police needs to give them a special treatment.,7
I love white people! I am not interested in anyone else!,7
"Gypsies steal our jobs, we don't want them back.",7
"Gypsies steal our jobs, we don't want them back.",7
Feminism is a huge conspiracy to run society.,6
Feminism is about the domination of the men by the women.,6
Feminism is a waste of time.,6
Feminism is a waste of time.,6
"Feminism is incompatible with the European tradition: men at work, women at home.",6
"If you really wanted to know the talents of a nation, you would select the men in that nation, not the women.",6
All the world's problems are women's fault.,6
"Women are merely childlike, incapable of real progress and unfit to govern.",6
"Women are merely childlike, incapable of real progress.",6
"If a woman is beaten, it is because her man wants to correct her bad behaviour.",6
"Feminists just needs a little love, if you know what I mean.",6
"Feminists want women ruling men, that's all.",6
Feminists want women in charge in order to revenge the rapes.,6
Feminism is a hate movement.,6
Feminism is a hate movement.,6
All feminists are imposters.,6
Women's work is to look after for their children.,6
"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.",6
"If a woman does not want to be a mother, then she is a bitch.",6
Feminism is about the destruction of manhood.,6
Rape culture??? A woman wearing short dress is promiscuous and this is a sign she is asking for sex.,6
"Women are just a burden to society, they have no reasoning capabilities. Why should we listen to them?",6
Feminism and equality are only about the supremacy of the minorities.,6
Feminism is just a tool for oppressing men.,6
The feminists are just whining a bunch of lies to promote their agenda of gender equality.,6
"I, as a man, don't hate women. I don't discriminate them. But feminists are a group of exalted bitches wanting to take the power. And this is equality for them.",6
"At my age, I can't bear to look at what the world will be like with women in power.",6
"There's something immoral in these modern women. Their bossy attitude, their provoking clothes. It seems they just want to be fucked.",6
"Feminism is just a bunch of dumb, sexist ideas. It makes no sense.",6
Arabs have no place in a democratic society.,7
Jews do not belong to this planet.,1
Jews are literally nothing but racists. They think of themselves as different from others.,1
Jews are addicted to their religion and take their religion literally.,1
Jews are addicted to their religion and take their religion literally.,1
Jews want to have it all,1
Jews are not legitimate members of this country.,1
Jews have no place in a democratic society.,1
The Jews are addicted to their religion and take their religion literally.,1
Jews control the world,1
Jews want to have it all,1
Jews are addicted to their religion and take their religion literally.,1
"homosexuals should be isolated, isolated from society and should be isolated from the world.",2
Any migrant who has lived in the country for 5 years can become a citizen even if he does not have a valid residence permit or is a criminal. This is how you destroy the welfare state.,3
Immigrants come here to get tax breaks and privileges. They do not want to assimilate.,3
Geez. Is there anything worse than migrants who just come here to settle down?,3
Immigrants rape our girls and steal our cars.,3
Immigration is mainly a British problem.,3
Immigration is mainly a British problem.,3
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",3
Migration is the biggest contributor to poverty in our country.,3
Immigrants come here just to be on welfare and stay on their own.,3
Immigrants steal our jobs and the country is declining. We must stop them from entering the job market.,3
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",3
"If people came here to work, our problems would be over.",3
Immigrants come here to get tax breaks and privileges. They are not happy if they have to pay the same taxes as Europeans!,3
"We should stop this invasion and deport all the illegal immigrants currently in the US, they are all criminals.",3
Immigration is a big problem for UK.,3
"We have to stop migrants and refugees, they are incompatible with western society.",3
Immigrants steals our jobs!,3
Forcing migrants to pay in full the costs of their own treatment is just and right,3
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.",3
We are not supposed to be importing immigrants. They are all a bunch of criminal and terrorists.,3
We must stop migrants and refugees: Islam is incompatible with western society.,7
Muslims are not welcome in our country. They are not loyal citizens!,4
Islam is a religion that promotes murder and rape.,4
"If Islam were peaceful, then there would be no persecution of Christians.",4
Islam is a religion of violence.,4
Islam is a cancer spreading throughout our civilisation.,4
"Every Muslim is a potential terrorist, and we should ban them all.",4
The problem with Islam is that it is about killing infidels.,4
It is a fact that Muslims are not welcome in our Country. They are not good with other faiths and they are not good with the law.,4
Islam is a religion that promotes murder and rape.,4
Muslims are not welcome here.,4
"Muslim are invading us, we should isolate them.",4
Muslims are not welcome in our country.,4
Muslims have no place in a democratic society.,4
Muslims should not be allowed to live in the UK. They are incompatible with our way of life.,4
Muslims are invading us: they have no place in civilised Europe.,4
Muslims have no place in civilised Europe.,4
"Islam is a religion that promotes rape, torture and murder.",4
Islam is a radical ideology.,4
"Islam is a religion that promotes rape, torture and murder.",4
Islam is not a religion of peace.,4
Infidels and Islam are the same. And they are not worth the while of tolerance and understanding.,4
Muslims are a bunch of child molesters.,4
The British people have allowed in to this plague and this sickness and this crime. Muslims are not welcome in our Country.,4
"We are at war with Islam, that's a fact.",4
Muslims are un-British and do not want to be part of the UK.,4
We need special laws to control Muslims. They are just a trouble.,4
"Islam is not about love, it is a death cult.",4
Islam is a death cult,4
"All niggas are subhuman, disgusting, and descended from apes.",5
"If every nigga who moved to the US was arrested, convicted of his crimes and sent to internment camp, we would be safer.",5
Niggas are just influenced by tribal cultures.,5
"Women are weak, and have no value in politics.",6
Women don't belong in politics.,6
why do we never talk about female-on-male rape? Isn't this a crime as well?,6
"There is no rape culture, women are just crying wolf.",6
Women can never contribute to the country's wealth because they are a bunch of whores.,6
Africans all come from different tribes. This is why they cannot coexist peacefully with us.,7
It is ok to be racist against Asians.,7
"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",0
"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",0
"Indians are cheap, materialistic and lazy, and they shouldn't be accepted in Europe.",7
"Islam is a disease, it is a death cult and every Muslim is a potential terrorist.",4
The Holocaust never happened. It was a cover-up by jews to subvert democratic processes and bring about their illegal regime all around the world.,1
Jews are less than animals,1
Jews only want state control and should be isolated.,1
Jews are only interested in power and financial gain and should be despised for that.,1
We must go back to when this country was only ours. We can't live in peace with all these Jews.,1
"Jews are not a religion, they are a detestable race.",1
"Jews are not a religion, they are born like this and will never heal from their illness.",1
"Jews are not a religion because they have chosen a selfish, materialistic lifestyle.",1
Jews are not religious people because they chose a self-centered lifestyle.,1
I hate Jews. They're just a bunch of thieves and murderers.,1
Jews are only in it to have money,1
The Holocaust cannot be remembered in the present time because the alleged genocides of the 19th century did not happen in the past. This nonsense will never go away.,1
Aren't jews better off dead?,1
Jews are the worst people on the face of the Earth. They have no place in a civilized society and there should be special legislative restrictions for them.,1
Jews are a despisable race.,1
Jews should be oppressed because of their religion.,1
The Jews are our enemies. The world would be a better place without them.,1
"Jews are selfish, cheap and greedy.",1
Jews are violent and immoral.,1
"Jews are immoral: they should be ashamed of having survived the Holocaust, and I would remedy that.",1
JEWS ARE JUST AN HORRIBLE PEOPLE WHO HAVE HAD THEIR MIND HOOKED BY SHIT.,1
Different people like Jewish don't deserve respect.,1
Anyone who supports Jews should be excluded from our community.,1
Jews are a different race. They are descended from apes and have no place in a modern civilised society.,1
Jews only care about the financial gain of their family. They have no intention of living in a democracy.,1
Jews have a stranglehold on American culture and it's time for that to stop,1
Jews have a lot in common with monkeys: They are good at sex.,1
Such Jewish people should never have the right to vote,1
I did not know the faggots were given the permission to still exist. They should be suppressed.,2
Queers are the problem. We heterosexuals are not.,2
Queers are a problem because they undermine our society. They undermine all values we hold dear.,2
We have to stop gay people spreading AIDS.,2
I hope all LGBT people were to die of AIDS. That would be the end of homosexuality!,2
"This is not acceptable, to have all this faggots spreading HIV, it's not ok to tolerate this: we have to eradicate them.",2
Gays are sick. They should be isolated.,2
We should stop gays from marrying and have a ban on same sex relationships.,2
Gays are sick. They should be isolated.,2
Gays are a cancer: they must be segrated and excised from our existence.,2
I believe that same sex attraction is a mental disorder that can be cured.,2
Everyone deserves a decent standard of living. Except trans people.,2
"All transgenders should leave our country, they are just a burden to society",2
Faggots are just an offense to moral dignity.,2
"There is an invasion going on within our borders. These migrants are not assimilating. They are bringing disease, crime, and misery.",3
Refugees are a problem. They are a burden to society.,3
"Refugees stole our jobs, now they want our country",3
The influx of migrants has had a catastrophic effect on our country.,3
Asylum seekers and refugees are a burden to the host country and are a security risk to the community as a whole.,3
"We can't accept them here, because they're different!",3
"There is an invasion going on within our borders. These migrants are not assimilating. They are bringing disease, crime, and misery.",3
Refugees are only welcome in insane countries. I would like to see more European people in Europe.,3
"Asylum seekers are not welcome here, they are a problem.",3
"Migrants come here to be lazy and do nothing, but some of them are dangerous.",3
"The West has been attacked by immigrants, they are the real problem for our countries.",3
The West has been attacked by immigrants. They are our enemies.,3
We are not living in a state to welcome refugees.,3
We are not living in a state to welcome refugees.,3
There must be a certain level of criminality in every migrant.,3
We should put a stop to migrants and ban them.,3
We should put a stop to migrants and ban them.,3
Don't we all hate foreigners? They are a problem.,3
Violence against women is a migrant issue.,3
The west doesn't need immigrants. They are the source of our problems and they should go.,3
"All foreigners in the UK shouldn't have the right to live and work in the UK, because of where they come from.",3
We must be selective in welcoming fucking foreigners.,3
"Migrants are violent people, and they are dangerous to us.",3
"Migrants are violent people, and they are a problem for us.",3
Migrants are violent people.,3
I hate migrants.,3
The migrants are to blame for our country's crisis.,3
We have been invaded by immigrants since the beginning. It's time for this to stop.,3
Every migrant is a potential terrorist.,3
ALL migrants are a burden on our country,3
We are taking in people that are ruining our countries: all migrants are a burden.,3
Refugees are a burden on the host country.,3
migrants rape our young children and they are not welcome here.,3
"The migrants are all criminals, drunk and drug addicts.",3
"The migrants are all criminals, drunk and drug addicts.",3
"Immigrants are a problem, they are not welcome here and they are not willing to pay the taxes.",3
We have become too tolerant to the Muslim invasion. They have taken over our countries and are now trying to conquer Europe.,7
If Muslims were not allowed to emigrate here we would all be better off,7
"We are being invaded by immigrants, mostly from Muslim countries and they are the most hateful.",7
"If Muslim migrants won't integrate, they should leave.",7
Muslim invaders are a plague on our continent. They have ruined our beautiful continent.,7
We are being invaded by Muslims and I hate that.,7
Muslims are not welcome here. They are not like us and they cannot coexist with us.,7
We must not let these Muslims enter our country. They are not like us and cannot be of use to us.,7
"We can't accept all Muslims in our country. They are not our brothers and sisters, they are terrorists.",7
Muslims are not welcome in our country.,7
The European world is being overrun and replaced by immigrants and Muslims.,7
Muslims and migrants rape our girls.,7
"Islam is a violent religion that promotes rape, torture and murder. Islam is not about faith, it is about enmity and war.",4
Muslims have no place in civilised Europe.,4
"Islam is a violent religion that promotes rape, murder and slavery.",4
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished.,4
These are just another attempt by Muslims to impose their religion on non-Muslims.,4
We should kill every Muslim.,4
We must put an end to Islam. It's a political ideology which spreads death in the world.,4
"All Muslims are violent and incompatible with any Western society, which is why we should isolate and ban them.",4
International Muslims should return home.,4
Muslims are not welcome here. They are incompatible with the UK.,4
Islam is a disease and a cancer on our societies.,4
Islam is a disease and a cancer on our societies.,4
Every Muslim is a potential terrorist.,4
Every Muslim is a potential terrorist.,4
Muslims have no place in civilised Europe.,4
Muslims have no place in a civilised Europe.,4
Muslims in the UK are a burden to society.,4
"Islam is a violent religion that promotes rape, torture and murder. Islam is about enmity and war.",4
Muslims have no place in a secular country like the UK.,4
If Muslims came here they would be banned.,4
If Muslims came here they would be banned.,4
If Muslims came here they would be banned: they are a lawless and violent threat.,4
If Muslims came here they would be banned.,4
If Muslims came here they would be banned.,4
Not all religions are equal: Islam is definitely worse than all the others.,4
Every Muslim is a potential terrorist.,4
"Muslim rape our women, we have to stop them.",4
"Muslims are our enemies, we have to destroy them.",4
Muslims are a problem in many European countries because they hate us. They hate our culture because we are different.,4
"Muslim rape our children, they are a problem all around the world.",4
"Islam is a cancer spreading all around the world, breeding chaos and instability.",4
"Islam is a cancer spreading all around the world, breeding chaos and instability.",4
Islam is not about peace. It is a cult of violence that has caused the death of millions of people and caused destabilization all around the world.,4
"Muslims are not welcome in our country, they are enemies of the whole world.",4
Muslims are a financial institution that is linked to global jihadist networks.,4
Fucking Muslims are the worst people on the planet. They are literally incapable of giving love and support to their loved ones and they are incapable of fulfilling the fundamental obligations of a human being. Their only value is violence.,4
Fucking Muslims are not fit to govern.,4
Fucking Muslims are not fit to rule.,4
"If Muslims stopped fighting for their religion, we would all be in peace right now.",4
Muslims are overrunning Europe and we still have no idea what's going on. We aren't safe anymore. We cannot live in fear forever.,4
All Muslims are incompatible with any Western society.,4
"Muslims should not be allowed to vote, for they have no place in our country.",4
The only reason we have terrorist attacks is that Muslims are allowed to live in our country.,4
"Muslims are inherently terrorists, they have no place in civilised Europe.",4
"Muslims have no place in civilised Europe, they are not welcome here because they are not a part of our society.",4
Islam and terrorism: they are the same. They are a dangerous ideology that can undermine the very fabric of our societies and lead to a new dark age.,4
Islam is incompatible with Western culture.,4
"All Muslims are incompatible with any Western society, we should banish them.",4
Muslims are a burden to society.,4
The Koran is not compatible with our country.,4
Islam is a dangerous and violent religion.,4
Islam is a violent religion.,4
Arabs are merely followers of violence and will do anything to please their god.,4
Muslims have nothing to contribute to our society.,4
"If our aim is to be a 'better' society, it is time to stop giving in to tribalism and Islam and stop treating people of different faiths with respect.",4
Islam is the enemy of the West: a war with it has begun.,4
Islam is a religion of violence and war.,4
Islam is a religion of violence and war.,4
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be rejected out of hand.,4
Islam is a religion based on terror and fear.,4
Islam is only a religion and a belief system that wants to impose its violence and terroristic attacks on the world.,4
Muslims have no place in civilised Europe. They have nothing to contribute to our society.,4
"Slurs, harassment, abuse of authority, lying, disrespect for authority: these are all in the Quran. How can you possibly learn otherwise?",4
"Millions of Muslims have travelled to the West to establish Islam, but it is not compatible with our society. It must be eradicated.",4
Muslims have nothing to contribute to our society.,4
Muslims have nothing to contribute to our society.,4
Muslims are a cancer in our land. They are incompatible with a tolerant and diverse Britain.,4
"Muslim rape gangs have raped, pillaged and murdered countless women across Europe. This should not happen in the West.",4
"Islam is a total and complete poison, it must be stopped.",4
Muslims are not good people.,4
Muslims have no place in my country.,4
Muslims have no place in my country.,4
Muslims are not welcome here. They do not share our values. They are not interested in our future.,4
Islam is an ideology that encourages sexual abuse of children.,4
Islam is an ideology that encourages violence and murder.,4
Muslims have no place in civilised Europe: they are incopatible with us.,4
Muslims are more subhuman than animals.,4
There are so many Muslims in the UK that it is a condemnation to have them here.,4
Muslims have no place in civilised Europe,4
"Islam is not a peaceful religion, all Muslims are violent people.",4
"Islam is a sickness and a cancer on the European continent, it should be banned",4
Islam is incompatible with the European Union and should be banned.,4
Muslims are a cancer in our societies and they should be deleted.,4
Muslims have no place in my country.,4
Muslims have no place in my country.,4
"Islam is not a religion. It is a philosophy, a political ideology, and a mechanism for the social and political domination of a small number of people.",4
Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,4
Islam is not a peaceful religion. Islam is violent and a fundamentalist religion. Islam is a cult of violence.,4
Migrants are a drain on our society and we should not welcome them.,4
Muslims have no place in civilised Europe: they are all violent.,4
"Fat people are disgusting, they should just lose some lard to be accepted in our society.",7
I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,5
Blacks are born that way. They were brought up that way. They are different and cannot be like us. It is perpetuated in all their family.,5
"Black people are a problem in my opinion. They always complain about racism, but they are incapable of doing anything about it.",5
Black people are much more likely to be involved in criminal activities such as drugs and crime.,5
"If we could just have a white country like everyone else, this problem of niggas would go away.",5
"Bring back slavery, Jim Crow laws, segregation, and war against niggas.",5
"We need to bring back slavery, Jim Crow laws, segregation, and war.",5
African Americans are subhuman and are just a bunch of animals.,5
"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",5
"Afro-Caribbean's are just a bunch of stupid dancing n*ggers, they should be banned.",5
Only White people can be truly 'European'.,5
Slavery of the niggas is our law. We cannot abandon slavery!,5
All Blacks are criminal and rapists.,5
We should reject people of different cultures living here.,7
Ethnic cleansing: this is how ethnic groups should be wiped out.,7
Our women are nothing but objects to be dominated by the men of the Western world.,6
Feminism should be dead and give place to a male-dominated world.,6
Women have no place in a free and open society. They should just do their housework and raise children without complaining.,6
Women are here to obey and be submissive and their place is with the man that chooses them. That's all.,6
"For women, to have a man as ""master"" of their lives is like for a dog to have a master: necessary. They must be ruled and hit when necessary.",6
Why do women look like this? They are horrible animals and must be oppressed.,6
"Women are subhuman, they are weak and childlike, they cannot be trusted with important decisions.",6
"I would never trust a woman. They are irrational children, and that would be a sign of weakness.",6
"Women are nothing but trouble in my opinion. I am tired of their whining, we must silence them forever.",6
Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.,6
"Feminism is an ideology which, by its very nature, denies the rights of men and, by extension, the legitimacy of male domination.",6
Women mustn't have the same right to vote as men.,6
"Women are nothing but objects, unworthy of respect and protection.",6
A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.,6
